,Year,Round,Pick,Name,Team,Position,player_id,player_game_count,Grade,count,pickgrade,_merge,value
516,2012,4,97,lamar miller,Dolphins,RB,7097.0,102.0,70.2,1,61.3,both,8.900000000000006
463,2012,2,41,cordy glenn,Bills,T,7045.0,96.0,74.5,1,65.6,both,8.900000000000006
2044,2019,5,171,darius slayton,Giants,WR,25578.0,14.0,70.3,1,61.4,both,8.899999999999999
3,2010,1,4,trent williams,Redskins,T,5529.0,120.0,81.1,1,72.2,both,8.899999999999991
1206,2015,5,171,nick boyle,Ravens,TE,9604.0,64.0,70.2,1,61.4,both,8.800000000000004
1072,2015,1,17,arik armstead,49ers,DT,9450.0,62.0,76.5,1,67.7,both,8.799999999999997
578,2012,5,170,vick ballard,Colts,RB,7162.0,17.0,70.3,1,61.5,both,8.799999999999997
44,2010,2,46,linval joseph,Giants,DT,5571.0,140.0,74.8,1,66.0,both,8.799999999999997
1937,2019,2,36,deebo samuel,49ers,WR,48274.0,15.0,74.5,1,65.7,both,8.799999999999997
938,2014,3,91,john brown,Cardinals,WR,8726.0,87.0,70.8,1,62.0,both,8.799999999999997
864,2014,1,11,taylor lewan,Titans,T,8646.0,84.0,78.1,1,69.3,both,8.799999999999997
942,2014,3,96,jerick mckinnon,Vikings,RB,8731.0,58.0,70.0,1,61.3,both,8.700000000000003
1231,2015,6,206,aaron ripkowski,Packers,RB,9639.0,39.0,68.2,1,59.5,both,8.700000000000003
1226,2015,6,200,quandre diggs,Lions,DB,9633.0,69.0,67.9,1,59.2,both,8.700000000000003
